2025-08-14 19:37:14 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 780
Gen 1 - Best fitness: 750
Gen 2 - Best fitness: 780
Gen 3 - Best fitness: 840
Gen 4 - Best fitness: 840
Gen 5 - Best fitness: 810
Gen 6 - Best fitness: 650
Gen 7 - Best fitness: 650
Gen 8 - Best fitness: 690
Gen 9 - Best fitness: 610
Gen 10 - Best fitness: 770
Gen 11 - Best fitness: 810
Gen 12 - Best fitness: 780
Gen 13 - Best fitness: 750
Gen 14 - Best fitness: 580
Gen 15 - Best fitness: 580
Gen 16 - Best fitness: 610
Gen 17 - Best fitness: 620
Gen 18 - Best fitness: 590
Gen 19 - Best fitness: 550
Gen 20 - Best fitness: 550
Gen 21 - Best fitness: 520
Gen 22 - Best fitness: 560
Gen 23 - Best fitness: 260
Gen 24 - Best fitness: 510
Gen 25 - Best fitness: 510
Gen 26 - Best fitness: 550
Gen 27 - Best fitness: 550
Gen 28 - Best fitness: 740
Gen 29 - Best fitness: 390
Gen 30 - Best fitness: 480
Gen 31 - Best fitness: 590
Gen 32 - Best fitness: 540
Gen 33 - Best fitness: 650
Gen 34 - Best fitness: 610
Gen 35 - Best fitness: 650
Gen 36 - Best fitness: 220
Gen 37 - Best fitness: 220
Gen 38 - Best fitness: 520
Gen 39 - Best fitness: 770
Best timetable saved to timetable_ga.json


2025-08-14 19:38:47 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 780
Gen 1 - Best fitness: 810
Gen 2 - Best fitness: 780
Gen 3 - Best fitness: 780
Gen 4 - Best fitness: 810
Gen 5 - Best fitness: 710
Gen 6 - Best fitness: 810
Gen 7 - Best fitness: 680
Gen 8 - Best fitness: 720
Gen 9 - Best fitness: 750
Gen 10 - Best fitness: 810
Gen 11 - Best fitness: 810
Gen 12 - Best fitness: 740
Gen 13 - Best fitness: 570
Gen 14 - Best fitness: 610
Gen 15 - Best fitness: 550
Gen 16 - Best fitness: 710
Gen 17 - Best fitness: 710
Gen 18 - Best fitness: 740
Gen 19 - Best fitness: 510
Gen 20 - Best fitness: 710
Gen 21 - Best fitness: 650
Gen 22 - Best fitness: 510
Gen 23 - Best fitness: 650
Gen 24 - Best fitness: 620
Gen 25 - Best fitness: 650
Gen 26 - Best fitness: 650
Gen 27 - Best fitness: 550
Gen 28 - Best fitness: 640
Gen 29 - Best fitness: 680
Gen 30 - Best fitness: 610
Gen 31 - Best fitness: 680
Gen 32 - Best fitness: 410
Gen 33 - Best fitness: 550
Gen 34 - Best fitness: 510
Gen 35 - Best fitness: 650
Gen 36 - Best fitness: 680
Gen 37 - Best fitness: 550
Gen 38 - Best fitness: 580
Gen 39 - Best fitness: 480
Best timetable saved to timetable_ga.json


2025-08-15 05:08:12 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\cando\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 840
Gen 1 - Best fitness: 810
Gen 2 - Best fitness: 840
Gen 3 - Best fitness: 810
Gen 4 - Best fitness: 750
Gen 5 - Best fitness: 720
Gen 6 - Best fitness: 680
Gen 7 - Best fitness: 720
Gen 8 - Best fitness: 720
Gen 9 - Best fitness: 780
Gen 10 - Best fitness: 810
Gen 11 - Best fitness: 650
Gen 12 - Best fitness: 710
Gen 13 - Best fitness: 650
Gen 14 - Best fitness: 550
Gen 15 - Best fitness: 610
Gen 16 - Best fitness: 750
Gen 17 - Best fitness: 810
Gen 18 - Best fitness: 480
Gen 19 - Best fitness: 540
Gen 20 - Best fitness: 610
Gen 21 - Best fitness: 680
Gen 22 - Best fitness: 640
Gen 23 - Best fitness: 740
Gen 24 - Best fitness: 510
Gen 25 - Best fitness: 620
Gen 26 - Best fitness: 650
Gen 27 - Best fitness: 450
Gen 28 - Best fitness: 580
Gen 29 - Best fitness: 650
Gen 30 - Best fitness: 520
Gen 31 - Best fitness: 580
Gen 32 - Best fitness: 510
Gen 33 - Best fitness: 490
Gen 34 - Best fitness: 650
Gen 35 - Best fitness: 520
Gen 36 - Best fitness: 510
Gen 37 - Best fitness: 550
Gen 38 - Best fitness: 480
Gen 39 - Best fitness: 640
Best timetable saved to timetable_ga.json


2025-08-15 05:09:51 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\cando\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 830
Gen 1 - Best fitness: 800
Gen 2 - Best fitness: 860
Gen 3 - Best fitness: 830
Gen 4 - Best fitness: 830
Gen 5 - Best fitness: 670
Gen 6 - Best fitness: 770
Gen 7 - Best fitness: 800
Gen 8 - Best fitness: 800
Gen 9 - Best fitness: 730
Gen 10 - Best fitness: 760
Gen 11 - Best fitness: 700
Gen 12 - Best fitness: 600
Gen 13 - Best fitness: 630
Gen 14 - Best fitness: 730
Gen 15 - Best fitness: 670
Gen 16 - Best fitness: 600
Gen 17 - Best fitness: 740
Gen 18 - Best fitness: 250
Gen 19 - Best fitness: 340
Gen 20 - Best fitness: 210
Gen 21 - Best fitness: 510
Gen 22 - Best fitness: 350
Gen 23 - Best fitness: 630
Gen 24 - Best fitness: 540
Gen 25 - Best fitness: 440
Gen 26 - Best fitness: 280
Gen 27 - Best fitness: 610
Gen 28 - Best fitness: 540
Gen 29 - Best fitness: 540
Gen 30 - Best fitness: 530
Gen 31 - Best fitness: 570
Gen 32 - Best fitness: 530
Gen 33 - Best fitness: 440
Gen 34 - Best fitness: 730
Gen 35 - Best fitness: 730
Gen 36 - Best fitness: 600
Gen 37 - Best fitness: 560
Gen 38 - Best fitness: 540
Gen 39 - Best fitness: 410
Best timetable saved to timetable_ga.json


